DateTime,Open,High,Low,Close,Volume,AdjustmentClose,SymbolID,TimeFrame
2014-06-12 00:00:00,1.79171,1.79158,1.79158,1.79160,20725,1.79160,GBPAUD,1min
2014-06-12 00:01:00,1.79157,1.79147,1.79157,1.79149,20731,1.79149,GBPAUD,1min
2014-06-12 00:02:00,1.79149,1.79140,1.79149,1.79140,20743,1.79140,GBPAUD,1min
2014-06-12 00:03:00,1.79160,1.79124,1.79140,1.79160,20804,1.79160,GBPAUD,1min
2014-06-12 00:04:00,1.79162,1.79159,1.79162,1.79159,20811,1.79159,GBPAUD,1min
2014-06-12 00:05:00,1.79165,1.79159,1.79161,1.79161,20825,1.79161,GBPAUD,1min
2014-06-12 00:06:00,1.79164,1.79161,1.79161,1.79162,20834,1.79162,GBPAUD,1min
2014-06-12 00:07:00,1.79166,1.79165,1.79166,1.79165,20844,1.79165,GBPAUD,1min
2014-06-12 00:08:00,1.79174,1.79161,1.79165,1.79168,20902,1.79168,GBPAUD,1min
2014-06-12 00:09:00,1.79168,1.79156,1.79168,1.79156,20925,1.79156,GBPAUD,1min
2014-06-12 00:10:00,1.79156,1.79146,1.79156,1.79149,20950,1.79149,GBPAUD,1min
2014-06-12 00:11:00,1.79158,1.79146,1.79148,1.79158,20971,1.79158,GBPAUD,1min
2014-06-12 00:12:00,1.79156,1.79137,1.79156,1.79149,21014,1.79149,GBPAUD,1min
2014-06-12 00:13:00,1.79156,1.79150,1.79151,1.79153,21034,1.79153,GBPAUD,1min
2014-06-12 00:14:00,1.79158,1.79153,1.79154,1.79153,21045,1.79153,GBPAUD,1min
2014-06-12 00:15:00,1.79163,1.79146,1.79150,1.79146,21115,1.79146,GBPAUD,1min
2014-06-12 00:16:00,1.79229,1.79141,1.79146,1.79161,21371,1.79161,GBPAUD,1min
2014-06-12 00:17:00,1.79210,1.79155,1.79162,1.79156,21553,1.79156,GBPAUD,1min
